average_rtt,packet_loss,bits_per_second,bu_ratio,retransmits,cpu_host_total,cpu_host_system,bidirectional_duration_ms,src2dst_duration_ms,dst2src_duration_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,traffic_type,traffic_type_numeric
1590.864,11.8,623614.279769,93.76385720231,94,3.668587,3.142934,19057,19057,16811,866.2272727272727,1303.0303483590046,4947,1588.083333333333,1451.5017588899454,4947,1867.888888888889,2178.01718567855,6891,high,2
1581.886,12.4,963218.864062,90.36781135938,103,4.299305,3.636459,15521,15521,13182,739.0952380952382,1110.9472491870126,4090,1411.0,1224.0058823388065,4116,1464.666666666667,1359.7516317327957,4115,high,2
1599.806,14.4,1244729.626022,87.55270373978,201,4.0412930000000005,3.381102,15468,15468,13129,736.5714285714287,1112.1528928806763,4095,1406.1818181818182,1228.9427015269523,4121,1458.7777777777774,1365.5179216855577,4120,high,2
1629.936,12.2,959363.309184,90.40636690816,186,3.816236,3.259041,15090,15090,12747,718.5714285714287,1073.1649254158733,3887,1371.8181818181818,1179.885233247863,3917,1416.333333333333,1310.9703467279496,3913,high,2
1586.315,8.4,530366.986408,94.69633013592,77,3.859757,3.356836,19197,19197,16801,914.1428571428572,1289.841202850734,4621,1745.1818181818182,1909.724420861912,6620,1866.7777777777767,1466.3663234145974,4621,high,2
1623.68,15.4,296743.455148,97.03256544852,117,4.407714,3.82536,15662,15662,13333,745.809523809524,1126.7626910333702,4137,1423.8181818181818,1245.411082187871,4163,1481.4444444444446,1382.7960000584967,4162,high,2
1917.491,19.8,665705.667992,93.34294332008,166,8.432922,7.197186,19348,19348,17392,1018.3157894736844,2086.8103532166974,8993,1934.8,2615.3820116125808,9018,2174.0,2909.8673018345207,9018,high,2
1643.769,18.0,623222.815888,93.76777184112,131,3.5874370000000004,3.183244,19571,19571,17146,978.5500000000004,1346.21740932061,4632,1957.1,2108.453274585688,7225,1905.1111111111109,1521.9094457657825,4632,high,2
1528.785,11.4,914147.420728,90.85852579272,222,3.796339,3.200141,17403,17403,15084,870.15,1380.6696420673252,4910,1582.090909090909,1562.2047531962928,4910,1885.5,2415.1611599583634,6954,high,2
1646.2879999999998,13.4,380345.669025,96.19654330975,44,3.650445,3.098607,17973,17973,15386,898.6500000000003,1231.751524627046,4398,1633.909090909091,1289.767998869987,4398,1923.25,1985.2554171764828,6111,high,2
1553.385,12.8,920721.427654,90.79278572346,101,3.526311,3.096924,17236,17236,14986,907.157894736842,1420.613805647165,4753,1723.6000000000006,1592.884469549921,4753,1873.25,2418.853668874695,6764,high,2
1591.878,10.8,466453.86124,95.3354613876,93,8.488311,7.220606,19290,19290,16911,918.5714285714288,1855.5298319194053,8293,1753.6363636363635,2316.65963286484,8318,1879.0,2569.840218768474,8318,high,2
1620.922,12.6,564523.499224,94.35476500776,87,3.965761,3.464757,17507,17507,15075,875.35,1392.4025157221863,5311,1591.5454545454545,1576.6082178928516,5311,1884.375,2464.1273121968125,7311,high,2
